rock_type,geological_structure,joint_spacing_cm,weathering_grade,presence_of_clay_seams,slope_angle_degrees,bench_height_m,slope_aspect_degrees,bench_width_m,annual_rainfall_mm,pore_water_pressure_kPa,seepage_presence,seismic_activity,blast_vibration_intensity_mm_s,blast_frequency_per_month,time_since_last_rockfall_days,rockfall_event,rockfall_risk,high_risk_flag
limestone,bedding plane,78,highly weathered,1,74,6,110,12,2002,76,1,1,27,9,165,0,0.25,0
basalt,dyke,80,fresh,0,65,14,180,8,1601,35,0,1,40,5,45,1,0.74,1
limestone,bedding plane,31,slightly weathered,0,49,8,295,9,990,34,0,0,22,6,24,0,0.0,0
sandstone,fault,85,slightly weathered,0,52,6,245,6,1419,39,0,1,17,5,110,0,0.0,0
granite,dyke,40,slightly weathered,1,74,6,210,7,1903,50,1,1,45,7,120,1,0.96,1
limestone,dyke,70,slightly weathered,0,66,9,110,9,1901,30,0,0,22,5,15,0,0.02,0
limestone,fault,50,highly weathered,0,68,15,300,15,1500,70,1,1,45,11,75,1,0.91,1
sandstone,fault,37,slightly weathered,1,71,10,210,14,2200,77,1,0,29,9,95,0,0.12,0
granite,bedding plane,87,highly weathered,1,66,9,180,10,1252,64,1,0,37,11,135,1,0.72,1
sandstone,dyke,61,highly weathered,0,71,13,330,9,1700,91,1,0,39,10,85,1,0.88,1
granite,fault,55,fresh,0,73,11,90,13,1411,65,1,1,35,11,15,1,0.92,1
granite,fault,55,slightly weathered,1,58,6,100,13,965,30,0,0,29,7,40,0,0.0,0
sandstone,fault,52,slightly weathered,1,48,10,210,9,966,46,1,0,16,7,135,0,0.0,0
sandstone,bedding plane,75,slightly weathered,0,55,7,300,11,1037,25,0,0,20,6,90,0,0.01,0
limestone,fault,50,slightly weathered,0,66,12,250,14,1755,55,0,1,49,9,75,1,0.78,1
granite,fault,38,slightly weathered,0,73,9,225,11,1800,65,1,0,22,7,65,0,0.03,0
basalt,fault,40,fresh,0,47,10,270,8,2007,20,0,1,30,10,40,0,0.18,0
granite,dyke,55,slightly weathered,1,67,12,30,7,2020,75,1,0,34,9,65,0,0.16,0
sandstone,fault,55,highly weathered,1,70,11,120,10,2114,85,1,1,38,6,20,1,0.92,1
basalt,fault,65,fresh,0,72,13,60,13,1701,75,0,0,28,10,55,0,0.09,0
basalt,dyke,25,fresh,0,69,12,60,11,1601,75,1,1,47,7,165,1,0.88,1
granite,fault,45,slightly weathered,1,67,13,230,8,1912,55,1,0,24,5,35,1,0.7,0
granite,dyke,65,fresh,1,74,11,90,9,2117,78,1,0,45,12,120,1,0.95,1
basalt,joint,15,highly weathered,0,72,14,90,15,1906,10,0,0,45,9,45,0,0.07,0
granite,fault,80,fresh,0,50,14,100,9,2121,90,1,1,50,12,10,1,1.0,1
granite,fault,58,fresh,0,67,10,330,10,1220,22,1,0,30,8,45,0,0.1,0
sandstone,fault,95,highly weathered,0,55,9,45,7,1653,32,0,0,17,4,100,0,0.0,0
granite,fault,35,fresh,0,73,6,330,9,1656,35,0,0,25,5,80,0,0.01,0
granite,dyke,45,fresh,0,68,12,120,10,1907,40,0,0,25,8,45,0,0.04,0
limestone,bedding plane,44,highly weathered,1,69,7,95,7,1416,60,1,0,25,8,45,0,0.07,0
basalt,dyke,40,fresh,0,67,12,120,9,1701,20,0,0,30,8,80,0,0.02,0
limestone,fault,40,fresh,1,72,9,350,14,2117,50,1,1,35,9,60,0,0.22,0
sandstone,dyke,28,highly weathered,0,74,9,330,9,2500,40,1,0,32,7,70,1,0.64,0
sandstone,bedding plane,60,highly weathered,1,67,13,330,6,2449,75,1,1,40,11,75,0,0.34,0
sandstone,joint,55,slightly weathered,1,56,9,120,7,1953,52,0,1,38,10,105,0,0.16,0
granite,fault,35,slightly weathered,0,65,9,210,10,1601,42,0,0,20,8,45,0,0.02,0
basalt,dyke,85,slightly weathered,0,67,10,60,5,1600,55,0,0,30,8,100,0,0.02,0
limestone,bedding plane,52,fresh,0,72,7,235,14,2203,60,0,0,16,9,50,0,0.05,0
granite,bedding plane,65,slightly weathered,0,53,10,330,11,905,35,0,0,22,8,4,0,0.05,0
basalt,dyke,60,fresh,0,74,9,255,12,2307,25,1,1,42,9,20,0,0.13,0
basalt,dyke,65,slightly weathered,0,65,11,270,9,1702,60,0,0,25,7,75,0,0.05,0
granite,fault,58,slightly weathered,0,58,8,330,12,1958,22,1,0,23,9,80,0,0.04,0
limestone,bedding plane,60,slightly weathered,1,74,6,15,15,1915,75,1,1,26,9,20,1,0.82,1
granite,fault,25,slightly weathered,0,68,10,200,10,1223,30,1,0,35,8,90,0,0.06,0
limestone,fault,31,slightly weathered,0,74,15,160,12,1356,80,1,1,44,12,60,1,0.97,1
sandstone,dyke,25,slightly weathered,0,47,10,300,12,1601,10,0,0,25,9,90,0,0.01,0
granite,fault,20,highly weathered,0,66,9,150,7,2029,60,1,0,15,11,90,0,0.12,0
granite,fault,45,slightly weathered,0,70,10,120,10,1801,35,1,0,35,8,20,1,0.77,1
granite,fault,80,slightly weathered,0,73,13,330,12,2018,35,1,1,28,9,55,0,0.2,0
granite,joint,85,slightly weathered,0,63,14,85,7,1600,35,0,0,25,6,120,0,0.01,0
granite,fault,58,slightly weathered,0,59,14,120,11,1414,92,0,1,44,12,95,1,0.95,1
granite,fault,45,slightly weathered,0,65,10,320,10,1801,40,0,0,35,8,65,1,0.73,1
granite,bedding plane,65,fresh,0,72,11,80,9,1701,40,0,1,42,10,120,1,0.72,1
basalt,dyke,44,fresh,0,74,14,180,9,1559,18,0,0,33,6,40,0,0.02,0
sandstone,bedding plane,55,highly weathered,0,66,13,300,12,2008,70,1,0,44,9,60,0,0.25,0
sandstone,joint,35,fresh,0,55,7,270,8,2203,20,0,0,15,6,30,0,0.01,0
granite,fault,40,slightly weathered,0,58,10,90,11,1601,25,0,1,30,9,30,0,0.03,0
granite,fault,28,slightly weathered,0,73,10,230,12,2118,65,1,0,35,8,45,1,0.76,1
granite,fault,60,fresh,0,70,15,210,9,2113,30,0,1,38,7,80,0,0.06,0
granite,fault,46,slightly weathered,0,66,14,120,9,1912,56,0,0,37,7,95,0,0.0,0
sandstone,fault,60,slightly weathered,1,68,11,250,13,1908,60,1,1,48,12,70,1,0.92,1
limestone,bedding plane,90,highly weathered,1,74,15,100,14,1405,95,1,0,38,6,150,1,0.86,1
sandstone,fault,30,fresh,0,52,12,330,11,1757,20,0,0,18,9,15,0,0.02,0
sandstone,joint,58,slightly weathered,0,74,11,250,6,2000,45,0,0,42,9,20,1,0.8,1
sandstone,joint,55,slightly weathered,1,69,11,360,8,1702,30,0,0,38,9,55,0,0.05,0
granite,fault,50,slightly weathered,0,50,14,150,9,1407,30,1,0,15,7,100,0,0.01,0
granite,dyke,35,fresh,0,58,6,90,9,1911,65,0,0,29,8,110,1,0.67,0
basalt,dyke,70,slightly weathered,0,70,14,240,12,1702,50,0,1,42,12,90,0,0.29,0
granite,fault,18,slightly weathered,0,58,6,100,11,1953,46,1,1,33,10,165,0,0.08,0
limestone,bedding plane,90,highly weathered,1,58,6,270,6,1601,86,1,1,45,9,125,1,0.93,1
basalt,joint,42,slightly weathered,0,62,6,135,8,1079,25,0,0,37,8,45,0,0.0,0
sandstone,bedding plane,64,highly weathered,1,55,8,210,7,1609,55,1,0,22,7,120,0,0.0,0
basalt,dyke,65,fresh,0,69,14,40,11,2121,20,0,0,33,6,90,0,0.03,0
granite,fault,30,slightly weathered,0,69,15,100,10,1407,65,1,1,27,7,55,0,0.15,0
sandstone,joint,60,fresh,0,50,5,270,7,1800,20,0,1,15,7,15,0,0.04,0
sandstone,dyke,55,slightly weathered,1,55,9,45,9,2500,50,1,0,33,9,60,1,0.77,1
basalt,dyke,70,fresh,0,63,13,150,9,1417,20,0,0,28,9,75,0,0.0,0
limestone,fault,17,slightly weathered,1,59,7,180,11,1600,92,1,0,16,7,135,0,0.02,0
granite,fault,50,slightly weathered,1,71,5,210,9,1901,70,1,0,48,9,75,1,0.86,1
sandstone,joint,50,slightly weathered,1,70,7,120,9,2030,50,1,0,46,7,10,1,0.85,1
basalt,dyke,55,fresh,0,60,14,100,10,1600,50,0,0,35,7,90,0,0.02,0
granite,fault,80,slightly weathered,1,67,7,210,12,1801,50,0,1,42,7,45,0,0.16,0
limestone,bedding plane,55,highly weathered,1,69,12,180,11,2200,75,1,1,49,7,100,1,0.95,1
granite,fault,60,slightly weathered,0,63,6,300,8,1406,45,1,0,37,5,30,0,0.07,0
granite,fault,65,slightly weathered,0,55,10,225,10,1503,30,1,0,22,8,60,0,0.03,0
limestone,bedding plane,90,highly weathered,0,58,13,100,14,1702,55,1,0,38,9,80,0,0.11,0
limestone,fault,45,highly weathered,1,73,15,130,7,2405,80,1,1,43,8,150,1,0.95,1
basalt,dyke,30,highly weathered,0,69,7,90,6,1904,65,0,1,32,5,120,0,0.09,0
basalt,bedding plane,20,highly weathered,1,67,14,290,11,1079,80,1,0,45,11,170,1,0.89,1
sandstone,bedding plane,55,highly weathered,1,66,10,60,6,1912,77,1,0,20,4,160,0,0.08,0
basalt,fault,65,highly weathered,0,73,14,50,14,2008,65,1,1,42,10,15,1,0.99,1
granite,fault,40,fresh,0,65,10,120,8,1503,30,0,0,25,8,90,1,0.7,0
sandstone,joint,55,slightly weathered,1,62,9,180,9,2017,27,1,1,33,6,95,0,0.07,0
basalt,dyke,65,slightly weathered,1,68,9,80,8,1501,60,1,1,45,11,30,0,0.32,0
sandstone,bedding plane,60,highly weathered,1,58,9,210,7,2204,70,1,1,25,10,30,1,0.93,1
limestone,bedding plane,30,highly weathered,0,73,14,350,10,2305,90,1,1,45,12,5,1,1.0,1
sandstone,fault,52,slightly weathered,1,73,14,210,12,1503,60,1,1,39,9,75,0,0.09,0
basalt,joint,72,slightly weathered,1,69,12,60,10,1802,35,0,0,41,8,70,0,0.14,0
sandstone,fault,36,fresh,0,74,12,185,11,1402,63,1,1,41,7,10,1,0.93,1
sandstone,bedding plane,72,highly weathered,1,66,9,260,8,1415,82,1,1,29,7,95,1,0.79,1
limestone,bedding plane,60,slightly weathered,0,66,14,180,8,1902,75,1,0,39,10,165,0,0.15,0
sandstone,joint,35,slightly weathered,0,58,7,90,5,1657,28,0,0,22,6,105,0,0.0,0
granite,fault,45,slightly weathered,1,70,11,90,10,2015,60,1,0,30,8,45,0,0.15,0
sandstone,bedding plane,55,slightly weathered,1,72,9,290,12,2103,65,0,0,32,10,20,0,0.17,0
sandstone,dyke,18,slightly weathered,0,69,7,40,9,1863,32,0,0,17,6,105,0,0.0,0
granite,fault,30,slightly weathered,0,66,9,120,9,2023,52,0,1,27,10,70,0,0.04,0
granite,dyke,45,slightly weathered,0,68,14,240,9,1409,40,1,0,30,8,60,1,0.66,0
granite,fault,35,slightly weathered,0,61,10,120,7,1506,35,1,0,32,8,75,0,0.06,0
basalt,dyke,70,slightly weathered,0,72,9,40,9,2203,60,1,1,40,10,10,1,0.96,1
granite,fault,25,highly weathered,1,65,7,90,10,941,30,1,0,25,6,120,1,0.73,1
granite,fault,65,slightly weathered,0,65,10,200,10,1702,50,1,1,28,8,45,1,0.78,1
sandstone,joint,53,highly weathered,1,58,15,80,6,2200,95,1,0,44,12,20,1,0.95,1
basalt,fault,80,fresh,0,73,9,330,14,800,20,0,0,25,10,10,0,0.15,0
granite,dyke,75,slightly weathered,1,69,10,330,8,2201,55,1,0,43,8,65,1,0.86,1
basalt,joint,20,fresh,0,62,11,230,11,1700,55,0,0,20,12,150,1,0.71,1
granite,fault,70,highly weathered,0,73,9,300,9,1915,70,1,1,42,6,120,1,0.86,1
limestone,fault,58,slightly weathered,0,60,9,330,8,2007,30,1,0,20,11,50,0,0.09,0
basalt,fault,58,fresh,0,70,12,250,12,1246,50,0,1,40,10,30,0,0.26,0
basalt,joint,45,slightly weathered,0,55,8,270,12,1801,50,0,0,20,10,45,1,0.69,0
sandstone,bedding plane,52,highly weathered,1,61,7,135,6,1700,85,1,0,33,5,95,0,0.02,0
limestone,bedding plane,40,highly weathered,1,60,7,60,13,1702,95,1,0,38,9,95,0,0.14,0
limestone,bedding plane,65,highly weathered,1,66,6,180,13,2425,80,1,0,38,4,70,1,0.71,1
basalt,dyke,75,fresh,0,60,12,300,12,1800,45,0,1,40,10,45,1,0.75,1
sandstone,fault,26,slightly weathered,0,50,8,200,11,1801,43,0,1,38,10,24,1,0.71,1
limestone,dyke,10,fresh,1,68,15,80,8,2434,95,1,1,35,11,10,1,0.91,1
basalt,dyke,75,slightly weathered,1,65,11,270,9,1700,55,1,0,39,9,75,0,0.14,0
basalt,dyke,50,fresh,0,60,9,210,9,1245,25,0,1,40,10,10,1,0.77,1
granite,joint,50,fresh,0,69,13,230,7,2031,35,1,0,29,7,40,0,0.1,0
limestone,fault,50,slightly weathered,0,45,8,330,10,2100,85,1,0,47,10,20,1,0.9,1
sandstone,bedding plane,36,fresh,0,58,9,80,7,2104,18,0,0,20,6,14,0,0.0,0
granite,fault,50,slightly weathered,1,67,14,30,11,2115,75,1,1,33,11,130,0,0.17,0
limestone,fault,38,highly weathered,0,74,8,319,6,1360,74,1,0,24,10,168,0,0.08,0
sandstone,fault,35,highly weathered,1,50,6,220,8,1416,70,0,0,20,7,15,0,0.05,0
granite,fault,45,slightly weathered,1,60,8,110,9,1502,10,1,0,25,8,70,0,0.03,0
basalt,fault,40,slightly weathered,1,60,11,250,11,1503,50,1,1,22,7,75,1,0.7,0
sandstone,dyke,55,slightly weathered,1,60,13,330,12,2100,85,1,0,25,9,60,0,0.09,0
limestone,fault,15,highly weathered,1,73,14,300,11,1900,78,1,0,37,8,70,1,0.82,1
basalt,dyke,50,slightly weathered,0,73,11,200,9,1702,50,1,0,42,7,75,1,0.71,1
limestone,bedding plane,23,slightly weathered,0,66,8,160,10,1960,65,0,0,26,8,75,0,0.08,0
limestone,fault,40,slightly weathered,1,63,7,210,8,1601,50,0,0,30,11,20,0,0.09,0
basalt,joint,70,highly weathered,1,66,6,150,7,1907,70,1,0,43,5,55,0,0.18,0
sandstone,joint,15,fresh,0,65,10,250,8,2119,50,0,0,25,6,45,0,0.0,0
granite,fault,85,slightly weathered,1,65,10,160,10,1902,50,1,0,30,8,45,0,0.22,0
granite,fault,45,slightly weathered,0,68,12,150,8,1503,30,1,0,35,8,30,1,0.73,1
limestone,joint,25,slightly weathered,0,68,8,90,7,2449,95,0,1,45,11,65,1,0.88,1
sandstone,bedding plane,70,highly weathered,1,52,9,310,5,2122,80,1,1,27,6,60,0,0.15,0
limestone,dyke,55,highly weathered,0,66,14,300,9,1927,78,1,0,34,8,65,0,0.11,0
basalt,dyke,14,fresh,0,69,13,100,10,2307,41,1,1,47,9,9,0,0.42,0
sandstone,joint,55,slightly weathered,1,63,7,75,5,1418,22,0,0,15,4,10,0,0.0,0
granite,fault,45,slightly weathered,0,72,15,195,9,1801,65,1,0,36,7,25,0,0.09,0
sandstone,bedding plane,65,slightly weathered,0,74,15,185,9,1872,55,0,1,32,12,85,1,0.78,1
limestone,bedding plane,60,highly weathered,1,70,12,270,11,2107,85,1,1,40,10,95,1,1.0,1
basalt,dyke,40,slightly weathered,0,70,9,210,9,1862,50,1,0,37,9,60,0,0.06,0
granite,bedding plane,43,highly weathered,0,60,8,240,7,1503,45,1,0,24,5,20,0,0.04,0
sandstone,bedding plane,65,highly weathered,1,58,7,135,13,2017,70,1,0,15,5,5,0,0.08,0
granite,fault,40,slightly weathered,0,52,15,100,7,2105,60,0,0,20,7,25,0,0.04,0
granite,joint,25,fresh,0,66,11,180,13,2017,40,1,0,45,11,120,0,0.16,0
basalt,fault,30,slightly weathered,0,66,11,210,9,2012,25,0,0,28,7,75,1,0.67,0
sandstone,fault,53,slightly weathered,1,53,13,125,7,1906,53,1,0,36,7,50,0,0.05,0
sandstone,fault,90,fresh,0,74,14,125,14,1903,45,0,0,28,7,100,0,0.05,0
granite,bedding plane,35,slightly weathered,0,68,12,180,13,2122,88,1,0,44,11,135,1,0.9,1
limestone,fault,60,slightly weathered,1,60,10,45,9,2018,30,1,0,35,9,75,0,0.11,0
granite,bedding plane,54,slightly weathered,1,72,10,115,8,1563,74,1,0,29,9,105,1,0.76,1
basalt,joint,70,slightly weathered,0,55,12,240,8,2110,30,0,0,25,10,30,0,0.05,0
limestone,bedding plane,70,highly weathered,0,53,6,338,10,974,86,1,0,24,5,115,0,0.03,0
basalt,dyke,45,fresh,0,74,5,230,6,2004,52,0,1,48,12,10,1,0.95,1
limestone,bedding plane,70,highly weathered,1,55,7,90,5,1505,85,1,1,30,10,120,1,0.89,1
granite,fault,50,slightly weathered,0,73,14,340,14,1703,30,1,0,25,9,150,0,0.1,0
limestone,fault,65,slightly weathered,1,55,14,330,11,1323,60,1,0,36,9,20,1,0.73,1
limestone,fault,35,slightly weathered,0,67,8,10,10,2302,30,0,1,31,9,25,1,0.79,1
limestone,bedding plane,90,highly weathered,1,73,10,135,7,1406,80,1,0,41,8,170,1,0.99,1
sandstone,bedding plane,22,highly weathered,1,65,7,135,8,1700,82,1,0,25,9,140,0,0.1,0
sandstone,bedding plane,65,highly weathered,1,66,11,270,7,1703,80,1,1,36,11,50,1,0.87,1
sandstone,bedding plane,55,slightly weathered,0,58,11,90,10,2166,22,0,0,19,10,135,0,0.01,0
granite,fault,30,slightly weathered,0,60,9,210,10,2105,40,1,0,39,7,75,0,0.06,0
basalt,dyke,50,fresh,0,65,12,220,10,1800,75,0,1,45,10,30,1,0.93,1
basalt,dyke,20,fresh,0,68,11,150,13,1909,65,1,0,38,11,45,0,0.14,0
sandstone,fault,30,slightly weathered,0,55,10,330,6,2039,35,0,1,22,7,50,0,0.04,0
granite,bedding plane,60,highly weathered,0,58,6,135,7,1400,20,0,0,27,6,5,0,0.0,0
granite,fault,45,slightly weathered,0,69,10,200,10,1135,60,1,0,35,6,45,0,0.11,0
limestone,fault,50,slightly weathered,0,60,14,270,14,1601,50,1,0,26,7,135,0,0.02,0
sandstone,fault,40,highly weathered,1,67,12,315,12,1702,55,1,0,43,7,50,1,0.76,1
limestone,dyke,31,slightly weathered,0,57,12,241,11,1957,46,1,0,29,4,185,0,0.05,0
granite,fault,70,slightly weathered,0,68,8,240,7,2026,40,1,1,45,10,150,0,0.27,0
sandstone,bedding plane,65,highly weathered,1,75,6,330,7,2112,85,1,1,40,12,30,1,0.97,1
basalt,fault,55,highly weathered,1,73,7,330,7,1413,70,1,0,38,11,90,0,0.09,0
limestone,bedding plane,28,slightly weathered,1,63,8,130,7,1321,80,1,1,48,12,75,1,0.97,1
granite,dyke,45,fresh,0,62,11,305,5,1802,40,0,0,25,9,30,0,0.07,0
basalt,joint,50,slightly weathered,0,67,7,330,7,1802,20,0,0,22,6,120,0,0.0,0
basalt,fault,60,slightly weathered,1,67,13,340,9,1601,45,1,0,30,4,50,0,0.1,0
sandstone,fault,40,slightly weathered,0,59,9,120,7,1502,30,0,0,15,9,30,0,0.01,0
limestone,bedding plane,25,highly weathered,1,60,11,312,10,2204,75,1,0,40,9,60,1,0.84,1
granite,fault,25,slightly weathered,0,65,10,210,8,1802,40,1,1,35,8,40,0,0.14,0
granite,bedding plane,75,highly weathered,1,73,12,330,10,2027,85,1,1,44,12,35,1,1.0,1
limestone,bedding plane,70,highly weathered,1,67,12,330,12,1802,75,1,0,44,12,5,1,1.0,1
granite,bedding plane,90,slightly weathered,0,67,15,70,13,2107,55,1,1,32,10,75,0,0.15,0
granite,fault,70,slightly weathered,0,66,12,150,9,1411,50,1,0,27,9,35,0,0.02,0
limestone,bedding plane,35,highly weathered,1,74,5,70,15,2306,75,1,0,38,12,90,0,0.25,0
limestone,dyke,85,slightly weathered,1,69,14,310,7,2122,55,1,1,32,11,20,1,0.79,1
limestone,fault,40,slightly weathered,0,73,15,60,11,2101,80,1,1,48,12,10,1,1.0,1
basalt,dyke,70,fresh,0,68,12,330,7,2028,50,0,1,40,9,60,0,0.24,0
sandstone,bedding plane,80,slightly weathered,1,58,7,85,6,2249,35,0,0,22,9,150,0,0.03,0
granite,dyke,70,slightly weathered,0,66,7,95,11,1453,45,0,0,25,7,30,0,0.0,0
basalt,dyke,60,highly weathered,0,73,6,120,14,1907,60,1,0,42,7,85,0,0.09,0
limestone,fault,80,slightly weathered,0,72,10,90,11,2012,60,1,0,32,9,75,0,0.1,0
basalt,fault,55,slightly weathered,0,59,13,135,14,2019,40,1,0,36,10,85,1,0.61,0
sandstone,bedding plane,20,highly weathered,1,72,9,245,6,1800,65,1,1,33,7,18,0,0.23,0
granite,fault,40,highly weathered,0,66,14,90,11,1600,55,0,0,39,9,75,0,0.02,0
limestone,bedding plane,75,highly weathered,1,73,7,330,12,1700,85,1,0,47,6,145,1,0.91,1
sandstone,joint,80,slightly weathered,0,60,9,150,9,1703,40,0,0,22,6,20,0,0.0,0
basalt,dyke,80,slightly weathered,1,63,12,60,9,1701,35,1,0,33,7,50,1,0.74,1
granite,joint,40,slightly weathered,1,67,9,250,9,2105,70,1,0,28,11,120,0,0.16,0
granite,fault,85,slightly weathered,1,65,10,60,8,1008,35,1,0,20,6,40,0,0.09,0
granite,dyke,40,slightly weathered,0,68,11,300,8,1702,45,1,1,28,7,100,1,0.63,0
sandstone,dyke,50,fresh,0,69,9,330,13,2200,45,0,0,28,12,50,0,0.01,0
sandstone,bedding plane,52,highly weathered,1,69,5,150,10,2204,75,1,0,50,7,120,1,0.79,1
sandstone,fault,65,slightly weathered,0,62,10,270,8,1601,50,0,0,20,9,90,1,0.58,0
sandstone,fault,70,slightly weathered,0,68,9,330,11,2029,60,1,0,48,6,75,0,0.13,0
granite,dyke,20,slightly weathered,1,72,11,330,12,2027,60,1,1,45,12,90,1,0.98,1
limestone,dyke,80,slightly weathered,0,50,5,150,7,1408,20,0,0,18,5,100,0,0.0,0
basalt,fault,28,fresh,0,65,14,230,12,1954,20,0,1,45,11,10,0,0.3,0
basalt,dyke,12,fresh,0,56,6,140,9,1702,35,0,0,36,10,15,0,0.14,0
sandstone,bedding plane,55,highly weathered,0,65,6,330,7,1204,72,1,0,19,8,150,0,0.05,0
basalt,fault,29,slightly weathered,0,73,5,300,13,2310,90,1,1,42,12,100,1,0.9,1
granite,fault,45,slightly weathered,1,69,12,280,8,2052,60,1,0,25,8,35,1,0.83,1
granite,dyke,75,fresh,0,69,5,240,13,2300,85,1,1,43,10,25,1,0.95,1
sandstone,fault,40,highly weathered,1,72,15,60,6,2105,65,1,1,42,9,10,1,0.97,1
limestone,fault,44,highly weathered,0,69,6,200,12,2106,77,1,1,39,12,2,1,0.98,1
limestone,fault,55,fresh,0,55,13,300,11,1905,85,0,1,42,4,150,0,0.21,0
basalt,dyke,60,fresh,0,60,9,320,7,2111,50,0,0,18,9,60,0,0.03,0
sandstone,fault,52,slightly weathered,0,66,15,225,11,2109,62,0,1,33,8,20,0,0.11,0
limestone,fault,64,highly weathered,1,72,14,200,14,2500,90,1,1,45,10,12,1,1.0,1
limestone,fault,85,slightly weathered,0,65,13,210,9,2001,78,1,0,20,9,90,1,0.8,1
limestone,bedding plane,31,highly weathered,1,74,6,340,10,2121,81,1,1,39,11,89,1,0.93,1
basalt,dyke,55,slightly weathered,0,57,14,135,14,1866,58,1,0,33,9,100,0,0.01,0
sandstone,bedding plane,35,highly weathered,1,72,13,190,10,2027,80,1,0,40,11,90,0,0.26,0
sandstone,joint,32,fresh,0,55,7,330,7,911,15,0,0,20,6,120,0,0.01,0
granite,bedding plane,45,slightly weathered,0,67,11,210,13,1600,55,1,0,37,7,105,0,0.1,0
basalt,dyke,65,fresh,0,73,14,125,15,1600,35,0,1,28,9,150,0,0.07,0
sandstone,bedding plane,30,highly weathered,1,70,9,135,11,1461,75,1,0,30,9,160,0,0.07,0
sandstone,joint,52,highly weathered,1,65,9,150,6,1409,81,1,1,29,10,95,0,0.2,0
limestone,fault,30,slightly weathered,0,67,10,115,9,2016,52,0,0,35,9,78,0,0.02,0
granite,fault,35,slightly weathered,0,60,14,290,11,1702,45,0,1,44,10,180,1,0.81,1
sandstone,bedding plane,60,slightly weathered,0,58,14,90,14,1911,50,1,0,32,9,70,0,0.04,0
sandstone,joint,55,slightly weathered,0,70,13,330,6,2001,60,1,0,20,9,30,1,0.76,1
sandstone,bedding plane,44,slightly weathered,1,69,9,80,9,1600,60,1,0,30,6,23,0,0.11,0
limestone,bedding plane,20,highly weathered,1,69,9,330,8,1905,80,1,0,38,9,60,0,0.27,0
sandstone,fault,45,slightly weathered,0,68,14,70,6,2109,85,0,0,28,4,10,0,0.18,0
basalt,dyke,25,fresh,0,73,13,240,10,1601,30,0,1,42,12,5,1,0.96,1
limestone,bedding plane,75,highly weathered,1,69,9,270,10,1956,80,1,0,24,7,55,1,0.74,1
limestone,fault,55,slightly weathered,0,60,7,45,7,1601,45,0,1,32,9,75,0,0.03,0
granite,dyke,85,fresh,0,66,7,120,10,1559,35,0,0,20,9,120,0,0.02,0
granite,fault,45,slightly weathered,0,65,10,210,8,1651,45,1,0,30,8,45,0,0.08,0
limestone,fault,58,slightly weathered,1,71,13,300,9,1700,95,1,1,50,7,35,1,0.95,1
sandstone,bedding plane,30,slightly weathered,0,70,14,290,6,1413,72,1,1,40,9,90,1,0.86,1
granite,bedding plane,50,fresh,1,71,13,300,14,1914,50,1,0,28,9,75,0,0.09,0
granite,fault,55,slightly weathered,1,73,10,170,10,2320,40,0,0,25,6,50,0,0.05,0
sandstone,dyke,60,slightly weathered,0,69,12,210,13,2302,70,1,1,42,9,40,1,0.88,1
limestone,fault,70,highly weathered,1,47,6,340,14,2019,52,1,0,44,10,95,1,0.75,1
sandstone,joint,35,fresh,0,55,9,100,9,1417,50,0,0,30,7,30,0,0.0,0
sandstone,bedding plane,55,highly weathered,0,73,14,350,13,2111,75,0,1,47,12,5,1,0.95,1
limestone,joint,50,highly weathered,1,73,15,45,7,2115,75,1,1,20,7,90,1,0.79,1
basalt,bedding plane,80,highly weathered,0,72,12,90,10,2200,70,1,1,35,10,45,1,0.85,1
sandstone,joint,25,highly weathered,1,58,6,190,6,1600,38,1,0,18,5,150,0,0.0,0
basalt,fault,65,slightly weathered,0,71,5,200,13,1403,70,1,0,32,9,130,0,0.09,0
limestone,bedding plane,25,highly weathered,1,74,14,230,12,1702,78,1,1,37,10,160,1,0.96,1
granite,bedding plane,30,highly weathered,1,63,9,160,10,2301,70,1,0,38,12,180,1,0.73,1
sandstone,fault,30,slightly weathered,1,70,11,220,9,1701,20,0,1,44,7,5,0,0.28,0
limestone,bedding plane,75,slightly weathered,0,66,9,120,12,1403,60,0,0,23,7,75,0,0.03,0
limestone,dyke,65,fresh,0,57,13,180,12,1703,75,0,0,39,11,50,1,0.78,1
basalt,dyke,75,slightly weathered,0,65,9,120,8,1655,50,0,1,29,7,85,0,0.03,0
granite,fault,54,slightly weathered,0,66,6,100,7,1866,48,0,0,39,7,30,0,0.02,0
basalt,joint,52,slightly weathered,1,63,7,170,12,1800,65,1,0,33,9,75,0,0.06,0
limestone,dyke,60,slightly weathered,1,72,12,200,11,1318,65,1,1,27,11,2,1,0.88,1
sandstone,joint,25,slightly weathered,0,72,8,350,11,1059,10,0,0,15,6,180,0,0.05,0
limestone,bedding plane,70,highly weathered,1,66,10,150,10,1800,50,1,0,25,9,70,0,0.09,0
sandstone,bedding plane,94,highly weathered,1,58,8,130,6,1413,70,1,0,27,5,100,0,0.02,0
sandstone,joint,40,slightly weathered,0,73,11,210,8,1801,65,1,0,38,9,30,0,0.16,0
sandstone,bedding plane,30,highly weathered,1,74,7,110,8,1801,65,1,1,42,9,75,1,0.87,1
limestone,bedding plane,75,highly weathered,1,63,10,45,7,2203,70,1,0,28,9,160,1,0.76,1
sandstone,bedding plane,90,highly weathered,1,68,13,250,7,2108,90,1,0,40,12,15,1,0.99,1
